method,threshold,precision,recall,f1,predicted_abnormal
f1_best,1.420495867729187,0.8269230769230769,0.8775510204081632,0.8514851485148515,52
youden,1.420495867729187,0.8269230769230769,0.8775510204081632,0.8514851485148515,52
train_p85,1.4323557615280151,0.8235294117647058,0.8571428571428571,0.84,51
train_p90,1.6021673679351807,0.8666666666666667,0.7959183673469388,0.8297872340425532,45
train_p80,1.3134459257125854,0.75,0.9183673469387755,0.8256880733944955,60
train_p97.5,1.9148592948913574,0.9142857142857143,0.6530612244897959,0.7619047619047619,35
train_p95,1.7968956232070923,0.8888888888888888,0.6530612244897959,0.7529411764705882,36
train_p99,2.0524234771728516,0.967741935483871,0.6122448979591837,0.75,31
checkpoint_fixed,0.97,0.6164383561643836,0.9183673469387755,0.7377049180327869,73
